Selection 	5%	10%	20%	40%	60%	80%	100%
      1000	0.00169715	0.00168842	0.00183968	0.00169126	0.00169649	0.00176216	0.00171308
      5000	0.04287936	0.04265378	0.04512807	0.04483086	0.04391264	0.04267214	0.04445934
     10000	0.17800435	1.60960709	0.17040305	0.17602553	0.17056795	0.17249430	0.17094174
     20000	0.74333184	0.68101779	2.11177313	0.67895362	0.68055021	0.68095046	2.12169581
     30000	1.54383019	1.53038390	1.54060960	1.96295545	1.53733212	1.54046207	1.54242368
     40000	2.75519955	2.71586987	2.71859282	2.71766156	2.72081069	2.71717893	2.73060129
     50000	1.38425994	1.45426804	1.45131481	2.81310152	1.45722595	1.48609514	1.41168654
