Merge     	5%	10%	20%	40%	60%	80%	100%
      1000	0.00013355	0.00013534	0.00014525	0.00016173	0.00017359	0.00018056	0.00018298
      5000	0.00077540	0.00080189	0.00084519	0.00093897	0.00100532	0.00105964	0.00108006
     10000	0.00159171	0.00162636	0.00174706	0.00194218	0.00208180	0.00219377	0.00225704
     20000	0.00455249	0.00339736	0.00361119	0.00402273	0.00435223	0.00472066	0.00475808
     30000	0.00501436	0.00511601	0.00546374	0.00611594	0.00672038	0.00705151	0.00731308
     40000	0.00681303	0.00708396	0.00823945	0.00839853	0.00912222	0.00969280	0.01000902
     50000	0.00882628	0.00896826	0.00942303	0.01048324	0.01159495	0.01303860	0.01303503
